source_id,target_id,relationship,source_url,local_path,sha256
pde,program_medicare,belongs_to,https://resdac.org/cms-data/files/pde,data/raw/html/dataset_page/cdd884d3b81899cee979038fcfe2b0286b8be6d9.html,5b12e00d987ebc8e1fcb62a89f076c7e3257f56250e013c5d226f49b9e39de66
pde,plan-characteristics,related_to,https://resdac.org/cms-data/files/pde,data/raw/html/dataset_page/cdd884d3b81899cee979038fcfe2b0286b8be6d9.html,5b12e00d987ebc8e1fcb62a89f076c7e3257f56250e013c5d226f49b9e39de66
pde,part-d-drug-characteristics,related_to,https://resdac.org/cms-data/files/pde,data/raw/html/dataset_page/cdd884d3b81899cee979038fcfe2b0286b8be6d9.html,5b12e00d987ebc8e1fcb62a89f076c7e3257f56250e013c5d226f49b9e39de66
pde,part-d-formulary-file,related_to,https://resdac.org/cms-data/files/pde,data/raw/html/dataset_page/cdd884d3b81899cee979038fcfe2b0286b8be6d9.html,5b12e00d987ebc8e1fcb62a89f076c7e3257f56250e013c5d226f49b9e39de66
pde,part-d-pharmacy-characteristics,related_to,https://resdac.org/cms-data/files/pde,data/raw/html/dataset_page/cdd884d3b81899cee979038fcfe2b0286b8be6d9.html,5b12e00d987ebc8e1fcb62a89f076c7e3257f56250e013c5d226f49b9e39de66
pde,part-d-prescriber-characteristics,related_to,https://resdac.org/cms-data/files/pde,data/raw/html/dataset_page/cdd884d3b81899cee979038fcfe2b0286b8be6d9.html,5b12e00d987ebc8e1fcb62a89f076c7e3257f56250e013c5d226f49b9e39de66
pde,program_medicare,belongs_to,https://resdac.org/cms-data/files/pde?page=1,data/raw/html/dataset_page/5604b2ec7bd4d71517e04a39607d45d5b421650b.html,7822abca956b74e73113243d1baef72949079534ab0aa2218fadd0105f5892b2
pde,plan-characteristics,related_to,https://resdac.org/cms-data/files/pde?page=1,data/raw/html/dataset_page/5604b2ec7bd4d71517e04a39607d45d5b421650b.html,7822abca956b74e73113243d1baef72949079534ab0aa2218fadd0105f5892b2
pde,part-d-drug-characteristics,related_to,https://resdac.org/cms-data/files/pde?page=1,data/raw/html/dataset_page/5604b2ec7bd4d71517e04a39607d45d5b421650b.html,7822abca956b74e73113243d1baef72949079534ab0aa2218fadd0105f5892b2
pde,part-d-formulary-file,related_to,https://resdac.org/cms-data/files/pde?page=1,data/raw/html/dataset_page/5604b2ec7bd4d71517e04a39607d45d5b421650b.html,7822abca956b74e73113243d1baef72949079534ab0aa2218fadd0105f5892b2
pde,part-d-pharmacy-characteristics,related_to,https://resdac.org/cms-data/files/pde?page=1,data/raw/html/dataset_page/5604b2ec7bd4d71517e04a39607d45d5b421650b.html,7822abca956b74e73113243d1baef72949079534ab0aa2218fadd0105f5892b2
pde,part-d-prescriber-characteristics,related_to,https://resdac.org/cms-data/files/pde?page=1,data/raw/html/dataset_page/5604b2ec7bd4d71517e04a39607d45d5b421650b.html,7822abca956b74e73113243d1baef72949079534ab0aa2218fadd0105f5892b2
pioneer-aco,program_medicare,belongs_to,https://resdac.org/cms-data/files/pioneer-aco,data/raw/html/dataset_page/fb3939b957813ca5fd21e0b1a725e4c9a5633f4a.html,b78bde277a4acca9077f25afd21ba07c9959b3dd59e6b3398dda6dcd636bac67
pioneer-aco,program_medicare,belongs_to,https://resdac.org/cms-data/files/pioneer-aco?page=1,data/raw/html/dataset_page/d82072986f1b00818ff87f632eef42c89e309650.html,2f7fdd1ed82c12fe116231b0e71e0cce8939b1d725fe84db29c8e05ba36f1289
plan-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/plan-characteristics,data/raw/html/dataset_page/99b9b8961aaddd80bd94563dc284be0e33b0d76a.html,5c5829f046c8d2cd33b74f2b5ac183840d60a1ceb08912eb2fbd47316c93beb6
plan-characteristics,pde,related_to,https://resdac.org/cms-data/files/plan-characteristics,data/raw/html/dataset_page/99b9b8961aaddd80bd94563dc284be0e33b0d76a.html,5c5829f046c8d2cd33b74f2b5ac183840d60a1ceb08912eb2fbd47316c93beb6
plan-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/plan-characteristics?page=1,data/raw/html/dataset_page/3805074dfb2ebcd6d95a2199f23904fc3b377e30.html,e9be9288d42c75681408eea7287eb4e312dbe42cc2f3f751be18696bbb747692
plan-characteristics,pde,related_to,https://resdac.org/cms-data/files/plan-characteristics?page=1,data/raw/html/dataset_page/3805074dfb2ebcd6d95a2199f23904fc3b377e30.html,e9be9288d42c75681408eea7287eb4e312dbe42cc2f3f751be18696bbb747692
plan-characteristics,program_medicare,belongs_to,https://resdac.org/cms-data/files/plan-characteristics?page=2,data/raw/html/dataset_page/8b7cb3b3ddc436da3e8aba213676753e9c338587.html,b6ff675f93e829ececb22d2c430bff45eba857d4b0082b61c8aa7fb23c51c177
plan-characteristics,pde,related_to,https://resdac.org/cms-data/files/plan-characteristics?page=2,data/raw/html/dataset_page/8b7cb3b3ddc436da3e8aba213676753e9c338587.html,b6ff675f93e829ececb22d2c430bff45eba857d4b0082b61c8aa7fb23c51c177
risk-score-base,program_medicare,belongs_to,https://resdac.org/cms-data/files/risk-score-base,data/raw/html/dataset_page/a908448a73ab3c65dfd95d8626da4db2940148f2.html,08768ad4d032d1acb29abc860e9d8ef0c4cfb6e8503cec991545ba5af48e50c6
risk-score-mofs,program_medicare,belongs_to,https://resdac.org/cms-data/files/risk-score-mofs,data/raw/html/dataset_page/5f790fcd9499f996f1cbe1ebbbb4d8aa4648a8e3.html,a80a1a9f54d0499fabb78951f2fe3b7d88cb2ffcd31c3d3ee617d84b4ad62495
snf-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/snf-encounter,data/raw/html/dataset_page/c298ca60db439d8979df17cc3dc170729820e43b.html,506d12896f945f2d3016c718f4805c76f976b604fa153ba8db41195bc5da4b85
snf-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/snf-encounter?page=1,data/raw/html/dataset_page/eed21d0774a179752ac17aee49aaa749c44920f1.html,47ad3de5a2f50ae6e65784bf62dc8d91dce88d1ad2176826d4d7c16d2fcceae3
snf-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/snf-encounter?page=2,data/raw/html/dataset_page/970e4806529a8e1d182c58a55b451dc499166a4b.html,a155f6a2bb34800518bd25c55202b00f99bc8cf24b0eea41d817fdb4c5c814e1
snf-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/snf-ffs,data/raw/html/dataset_page/8377dc546ecfb2a54ed25e3e14aa2eeb838960e6.html,122c1361a2748d02d8938323cdba3c7f582aa6e4ab28b8bcc2ca56ba6e0f2f25
ssp-aco-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/ssp-aco-beneficiary,data/raw/html/dataset_page/851e2f88706bf729d191326e820cefd76c359914.html,22a65c854871c62ed1bd693e14016dfbc9d044ccc646925cf7c3e43047848a8f
ssp-aco-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/ssp-aco-beneficiary?page=1,data/raw/html/dataset_page/e0b196e3d259fa2849b7e990d5bd1d887944fcad.html,9cf61b19734a3affd7df0cf9320ca85f04df29367f7f63e8463b30f87e64d3cf
ssp-aco-provider,program_medicare,belongs_to,https://resdac.org/cms-data/files/ssp-aco-provider,data/raw/html/dataset_page/fb2a7214beb51ea5c91964981c4777dbc7fd7664.html,a0f3ffa8d04cdd9290c60f595b7f746e4c559fafb5203e396740ccc3c33b03cb
ssp-aco-provider,program_medicare,belongs_to,https://resdac.org/cms-data/files/ssp-aco-provider?page=1,data/raw/html/dataset_page/09b860ae2397d9bc1589465c525822cef2fc97e5.html,375659a086f524ad3e622b9f93287b5e309cb558dfdd9203a4a3756e52875e7a
taf-apl,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-apl,data/raw/html/dataset_page/2b82e934c59155c82d8d097d9c9967f22ca861d6.html,cc4a75d172b57bf3a6359d32f510b2550d131f5f46bd97e083a2c01129ec008b
taf-apl,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-apl?page=1,data/raw/html/dataset_page/ef2fdeba8f725b33646c3330c2dd580e7ae885c9.html,d7973dc164ff0f239a45065c8794078d8b8b20ddc9b7891a447efaee31e2f3f5
taf-apr,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-apr,data/raw/html/dataset_page/81facd64260398256b70954b1dc6a5772e920097.html,6bf5f12a045605ed66580a61678e13c47ae09a9cf5d711d5625773300df36324
taf-apr,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-apr?page=1,data/raw/html/dataset_page/faaebb337d9dec4e28d79cb5a753eab265e67b07.html,4959b645c4a647b28085ad14ca85d42d08efe850f41990084d35e57e3ebd0220
taf-de,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-de,data/raw/html/dataset_page/210e4a188a4be86fbb03b881114a897529c30c3c.html,ab795ed810ea253a94c600aa8b0d0e19e2b3ba9c906927bfa54d9e4e9e1c8b13
taf-de,max-ps,related_to,https://resdac.org/cms-data/files/taf-de,data/raw/html/dataset_page/210e4a188a4be86fbb03b881114a897529c30c3c.html,ab795ed810ea253a94c600aa8b0d0e19e2b3ba9c906927bfa54d9e4e9e1c8b13
taf-de,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-de?page=1,data/raw/html/dataset_page/0a0a7d344c3ed4b1d8926319bdc536abac765db3.html,7a1df913d0fa46b516e4b7a5beb63e1b8661d6ece54e935f9fc2f73cc376c2bc
taf-de,max-ps,related_to,https://resdac.org/cms-data/files/taf-de?page=1,data/raw/html/dataset_page/0a0a7d344c3ed4b1d8926319bdc536abac765db3.html,7a1df913d0fa46b516e4b7a5beb63e1b8661d6ece54e935f9fc2f73cc376c2bc
taf-ip,program_medicaid,belongs_to,https://resdac.org/cms-data/files/taf-ip,data/raw/html/dataset_page/5a075429c574797815c4e25ee13d785ad327f696.html,9ec506c5b44945ddc80814da99171ec40401dfcb7a7cd043da44f39342a6be82
