source_id,target_id,relationship,source_url,source_document,page,chunk_id
op-ffs,op-ffs__var__icd-prcdr-cd15,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xv,data/raw/html/variable_page/e4f67b29c65d2af86724d2e00101ec86491a49df.html,,op-ffs__data-documentation__98b7c41c59__chunk_17
op-ffs,op-ffs__var__icd-prcdr-cd16,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xvi,data/raw/html/variable_page/acd884835e2a9366f004666c9da96a8a173e7883.html,,op-ffs__data-documentation__98b7c41c59__chunk_17
op-ffs,op-ffs__var__icd-prcdr-cd17,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xvii,data/raw/html/variable_page/88f9f8b902e1e62a2825081d62d9dd775ad8cd52.html,,op-ffs__data-documentation__98b7c41c59__chunk_17
op-ffs,op-ffs__var__icd-prcdr-cd18,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xviii,data/raw/html/variable_page/6e004565e7b51d0b377cb04d6ee00ed7446accbd.html,,op-ffs__data-documentation__98b7c41c59__chunk_18
op-ffs,op-ffs__var__icd-prcdr-cd19,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xix,data/raw/html/variable_page/35b66b6ff28c85f77bcabb2f31d9aaef081e1c7c.html,,op-ffs__data-documentation__98b7c41c59__chunk_18
op-ffs,op-ffs__var__icd-prcdr-cd2,contains,https://resdac.org/cms-data/variables/claim-procedure-code-ii-ffs,data/raw/html/variable_page/d47821d649649ded9f7935c640717a04c9028aec.html,,op-ffs__data-documentation__98b7c41c59__chunk_13
op-ffs,op-ffs__var__icd-prcdr-cd20,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xx,data/raw/html/variable_page/ca3134fa6a5b11038a9b8f6bec4ee678fc6a0dc2.html,,op-ffs__data-documentation__98b7c41c59__chunk_18
op-ffs,op-ffs__var__icd-prcdr-cd21,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xxi,data/raw/html/variable_page/022facf6f1bdca0220089466ac431b15d4c34a43.html,,op-ffs__data-documentation__98b7c41c59__chunk_19
op-ffs,op-ffs__var__icd-prcdr-cd22,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xxii,data/raw/html/variable_page/4c0d31d38dacf0e52d6803982115cdc8fc20801b.html,,op-ffs__data-documentation__98b7c41c59__chunk_19
op-ffs,op-ffs__var__icd-prcdr-cd23,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xxiii,data/raw/html/variable_page/9824be930b311ff3968b9feff9e64f16381353e3.html,,op-ffs__data-documentation__98b7c41c59__chunk_19
op-ffs,op-ffs__var__icd-prcdr-cd24,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xxiv,data/raw/html/variable_page/69f55816607c603225571f96a294073d2ce3d808.html,,op-ffs__data-documentation__98b7c41c59__chunk_20
op-ffs,op-ffs__var__icd-prcdr-cd25,contains,https://resdac.org/cms-data/variables/claim-procedure-code-xxv,data/raw/html/variable_page/cd6103f301bf11b864c5dd44bb286165e6e3ac53.html,,op-ffs__data-documentation__98b7c41c59__chunk_20
op-ffs,op-ffs__var__icd-prcdr-cd3,contains,https://resdac.org/cms-data/variables/claim-procedure-code-iii-ffs,data/raw/html/variable_page/a12f79ced8c7a6e6ef440f90e570f5611337587f.html,,op-ffs__data-documentation__98b7c41c59__chunk_13
op-ffs,op-ffs__var__icd-prcdr-cd4,contains,https://resdac.org/cms-data/variables/claim-procedure-code-iv-ffs,data/raw/html/variable_page/54a0365f6ea55d28964a249d2c8faf59305f15de.html,,op-ffs__data-documentation__98b7c41c59__chunk_14
op-ffs,op-ffs__var__icd-prcdr-cd5,contains,https://resdac.org/cms-data/variables/claim-procedure-code-v-ffs,data/raw/html/variable_page/c8b94fa8fe7983f41b2773deb542af63a87120ee.html,,op-ffs__data-documentation__98b7c41c59__chunk_14
op-ffs,op-ffs__var__icd-prcdr-cd6,contains,https://resdac.org/cms-data/variables/claim-procedure-code-vi-ffs,data/raw/html/variable_page/67a8dfcb2640b3c2180ae75c9095c3b65dfb9c53.html,,op-ffs__data-documentation__98b7c41c59__chunk_14
op-ffs,op-ffs__var__icd-prcdr-cd7,contains,https://resdac.org/cms-data/variables/claim-procedure-code-vii-ffs,data/raw/html/variable_page/b6ec8bf33d12307ace55aee449accd0097602eec.html,,op-ffs__data-documentation__98b7c41c59__chunk_14
op-ffs,op-ffs__var__icd-prcdr-cd8,contains,https://resdac.org/cms-data/variables/claim-procedure-code-viii-ffs,data/raw/html/variable_page/1e96d025d69610f0f3712031c8476c27db94b16b.html,,op-ffs__data-documentation__98b7c41c59__chunk_15
op-ffs,op-ffs__var__icd-prcdr-cd9,contains,https://resdac.org/cms-data/variables/claim-procedure-code-ix-ffs,data/raw/html/variable_page/ae1bf8f7b6c99c2ed1983d08b60e4c5706fc5eaf.html,,op-ffs__data-documentation__98b7c41c59__chunk_15
op-ffs,op-ffs__var__nch-bene-blood-ddctbl-lblty-am,contains,https://resdac.org/cms-data/variables/nch-beneficiary-blood-deductible-liability-amount,data/raw/html/variable_page/1860b6825096476b57efd98122a83b503e460661.html,,op-ffs__data-documentation__98b7c41c59__chunk_6
op-ffs,op-ffs__var__nch-bene-ptb-coinsrnc-amt,contains,https://resdac.org/cms-data/variables/nch-beneficiary-part-b-coinsurance-amount,data/raw/html/variable_page/8b6d79c327244bf6055d87a233f61342e0b520a2.html,,op-ffs__data-documentation__98b7c41c59__chunk_21
op-ffs,op-ffs__var__nch-bene-ptb-ddctbl-amt,contains,https://resdac.org/cms-data/variables/nch-beneficiary-part-b-deductible-amount,data/raw/html/variable_page/dd8f53925e579e5921fcb1b23747c826865c6ba2.html,,op-ffs__data-documentation__98b7c41c59__chunk_21
op-ffs,op-ffs__var__nch-blood-pnts-frnshd-qty,contains,https://resdac.org/cms-data/variables/nch-blood-pints-furnished-quantity,data/raw/html/variable_page/325148b023c474720c426379ff05fbe1c95be2be.html,,op-ffs__data-documentation__98b7c41c59__chunk_6
op-ffs,op-ffs__var__nch-clm-type-cd,contains,https://resdac.org/cms-data/variables/revenue-center-medicare-provider-payment-amount,data/raw/html/variable_page/63408b8a4617db4e2f44a40f06c41f83ee982fa2.html,,op-ffs__data-documentation__98b7c41c59__chunk_0
op-ffs,op-ffs__var__nch-near-line-rec-ident-cd,contains,https://resdac.org/cms-data/variables/nch-near-line-record-identification-code-ric,data/raw/html/variable_page/e2a65d5ccbf09b134831997edc04f893982c342b.html,,op-ffs__data-documentation__98b7c41c59__chunk_0
op-ffs,op-ffs__var__nch-prmry-pyr-cd,contains,https://resdac.org/cms-data/variables/nch-primary-payer-code-if-not-medicare,data/raw/html/variable_page/b317a9a6ccf8ed6ecabb8cfe040aec5f316f1cc4.html,,op-ffs__data-documentation__98b7c41c59__chunk_2
op-ffs,op-ffs__var__nch-prmry-pyr-clm-pd-amt,contains,https://resdac.org/cms-data/variables/nch-primary-payer-if-not-medicare-claim-paid-amount,data/raw/html/variable_page/2b019e3401e5d10ae77ff71e42eb87e40c8519df.html,,op-ffs__data-documentation__98b7c41c59__chunk_2
op-ffs,op-ffs__var__nch-profnl-cmpnt-chrg-amt,contains,https://resdac.org/cms-data/variables/professional-component-charge-amount,data/raw/html/variable_page/f529d0867564fa7bc7a982cf3fea3ff3023b09a6.html,,op-ffs__data-documentation__98b7c41c59__chunk_6
op-ffs,op-ffs__var__nch-wkly-proc-dt,contains,https://resdac.org/cms-data/variables/nch-weekly-claim-processing-date,data/raw/html/variable_page/2c4fc50a162db7e581e0a12caf0ebc4f2b60bf39.html,,op-ffs__data-documentation__98b7c41c59__chunk_0
op-ffs,op-ffs__var__op-physn-npi,contains,https://resdac.org/cms-data/variables/claim-operating-physician-npi-number-ffs,data/raw/html/variable_page/71453b90edf9cb3f1bc8d156b32bf5cd04491e42.html,,op-ffs__data-documentation__98b7c41c59__chunk_4
op-ffs,op-ffs__var__op-physn-spclty-cd,contains,https://resdac.org/cms-data/variables/claim-operating-physician-specialty-code,data/raw/html/variable_page/a35ed051bd27b521da1d0e22f5239602bf4d43ef.html,,op-ffs__data-documentation__98b7c41c59__chunk_4
op-ffs,op-ffs__var__op-physn-upin,contains,https://resdac.org/cms-data/variables/claim-operating-physician-upin-number,data/raw/html/variable_page/fb6444e96240e7b3e3b4a37f11f8cda726e121a1.html,,op-ffs__data-documentation__98b7c41c59__chunk_4
op-ffs,op-ffs__var__org-npi-num,contains,https://resdac.org/cms-data/variables/organization-or-group-npi-number,data/raw/html/variable_page/e8247733716c1754f88e37f2ee97ab727459759f.html,,op-ffs__data-documentation__98b7c41c59__chunk_3
op-ffs,op-ffs__var__ot-physn-npi,contains,https://resdac.org/cms-data/variables/claim-other-physician-npi-number-ffs,data/raw/html/variable_page/023c022aea73887cc232e2301736aea58005996e.html,,op-ffs__data-documentation__98b7c41c59__chunk_4
op-ffs,op-ffs__var__ot-physn-spclty-cd,contains,https://resdac.org/cms-data/variables/claim-other-physician-specialty-code,data/raw/html/variable_page/3280d1644860439cfdef4ef30a51a3150cb10b36.html,,op-ffs__data-documentation__98b7c41c59__chunk_5
op-ffs,op-ffs__var__ot-physn-upin,contains,https://resdac.org/cms-data/variables/claim-other-physician-upin-number,data/raw/html/variable_page/f9c753ba8a72dd11a66309b65f2e5b1f2055c5cf.html,,op-ffs__data-documentation__98b7c41c59__chunk_4
