url,resource_kind,asset_kind,source_url,source_title,content_type,http_status,archive_state,downloaded_at_utc,sha256,local_path,error
https://resdac.org/cms-data/files/irf-pai?page=1,dataset_page,,https://resdac.org/cms-data/files/irf-pai,Inpatient Rehab Facility-Patient Assessment Instrument | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852494Z,3c04e29b2dbb742375ca6d2c13775ad29f56ad8379bdccf11786b8a496d4bc6e,data/raw/html/dataset_page/2531c97864d9977f43f254931709dac5933f2a23.html,
https://resdac.org/cms-data/files/kcc-beneficiary,dataset_page,,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852632Z,5093d001243b23b8706afac585754e4ebf3d6557cc7e92572f9b005500ee5e65,data/raw/html/dataset_page/c82b4d408518dc96fdf46a27f4e49158e8e95041.html,
https://resdac.org/cms-data/files/kcc-provider,dataset_page,,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852773Z,e1a6f585904bc2e7839234c7fa87faf0ea780d2af9c5207dc50c8fe92e5d906e,data/raw/html/dataset_page/3047d052106df32116d1fcd096c5521ac8f2e200.html,
https://resdac.org/cms-data/files/lcds,dataset_page,,https://resdac.org/cms-data?page=0,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.852897Z,123074885ecf562ce0903fb2597a3e704e323f0d14318877718748a696660ad6,data/raw/html/dataset_page/109fd512ef088bf16d35b6132390e9403fdb09e3.html,
https://resdac.org/cms-data/files/max-ip,dataset_page,,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853023Z,03d882586fb58e3cb9fdcdddc706771c1d157e6c15d5530591965c9641b82866,data/raw/html/dataset_page/252bbce223cee13224fae984b7765753bbd11c6a.html,
https://resdac.org/cms-data/files/max-ip?page=1,dataset_page,,https://resdac.org/cms-data/files/max-ip,Medicaid Analytic Extract Inpatient | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853168Z,2bf565baf3f965403f7cbef636351c1b1266d9584affe018ec9a93677d7e0a4b,data/raw/html/dataset_page/515da00461d6442d0119c5c4c8cb1f3da0961381.html,
https://resdac.org/cms-data/files/max-lt,dataset_page,,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853313Z,271e59a18d3da4365b56e27410989fb0c6272f5de71cfb94833e4d113ca84530,data/raw/html/dataset_page/926065da5987e4d4b998ede3e7fd9c492f132963.html,
https://resdac.org/cms-data/files/max-lt?page=1,dataset_page,,https://resdac.org/cms-data/files/max-lt,Medicaid Analytic Extract Long Term Care | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853463Z,9648a8f86f982cc31bbc98cc4ead8e6f453feccffa7eb2d1c9acf72627dc7a1c,data/raw/html/dataset_page/e93fb78e4019c671e994a0552e88d01b076e690f.html,
https://resdac.org/cms-data/files/max-ot,dataset_page,,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853613Z,47df6101de47dd42359d4a4b9e09bebd2d09316cd0a9ecc7648442914d4eb36c,data/raw/html/dataset_page/c6bd9f0903948ef8616ff013b187c916461532ee.html,
https://resdac.org/cms-data/files/max-ot?page=1,dataset_page,,https://resdac.org/cms-data/files/max-ot,Medicaid Analytic Extract Other Services | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853778Z,072035086695b2812301f570655645f0e7413e2883753639ab23a77e582ac150,data/raw/html/dataset_page/ac50f3d0b395926f11debae52a1bb6bf53dc607c.html,
https://resdac.org/cms-data/files/max-ps,dataset_page,,https://resdac.org/cms-data?page=2,Find the CMS Data File You Need | ResDAC,text/html,200,archived,2026-06-12T17:35:30.853923Z,b1cbcd3a8ccad23ceb574ad1194431d64dd873dee119528a3649c1ed4e4daf80,data/raw/html/dataset_page/4e3c4f054ed1962fea40eba9b0c480c20f86f8a9.html,
